name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Daniel Natea,judo,ROU,male,21/04/1992,24.3,2.03,170
Behdad Salimikordasiabi,weightlifting,IRI,male,08/12/1989,26.7,1.92,170
Ivan Emilianov,athletics,MDA,male,19/02/1977,39.5,2.02,165
Fernando Salas Manguis,weightlifting,ECU,male,10/02/1988,28.5,1.86,163
Rafael Silva,judo,BRA,male,11/05/1987,29.3,2.03,160
Peter Nagy,weightlifting,HUN,male,16/01/1986,30.6,1.92,159
Mason Finley,athletics,USA,male,07/10/1990,25.8,2.04,157
Lasha Talakhadze,weightlifting,GEO,male,02/10/1993,22.9,1.97,157
Daniel Stahl,athletics,SWE,male,27/08/1992,24,2,155
Fernando Saraiva Reis,weightlifting,BRA,male,10/03/1990,26.4,1.85,155
Tsanko Arnaudov,athletics,POR,male,14/03/1992,24.4,1.98,154
Shih-Chieh Chen,weightlifting,TPE,male,27/11/1989,26.7,1.9,152
Ruben Aleksanyan,weightlifting,ARM,male,14/03/1990,26.4,1.8,152
Mart Seim,weightlifting,EST,male,24/10/1990,25.8,1.85,149
Almir Velagic,weightlifting,GER,male,22/08/1981,35,1.83,149
Kunathip Yea-On,judo,THA,male,18/08/1995,21,1.93,148
Rustam Djangabaev,weightlifting,UZB,male,25/08/1993,23,1.83,146
Darrell Hill,athletics,USA,male,17/08/1993,23,1.91,145
Hojamuhammet Toychyyev,weightlifting,TKM,male,16/01/1992,24.6,1.86,145
Ivan Ivanov,athletics,KAZ,male,03/01/1992,24.6,2.02,144
Ahmed Mohamed,weightlifting,EGY,male,27/04/1988,28.3,1.85,144
Gor Minasyan,weightlifting,ARM,male,25/10/1994,21.8,1.8,144
Man Asaad,weightlifting,SYR,male,20/11/1993,22.7,1.9,143
Sarah Elizabeth Robles,weightlifting,USA,female,01/08/1988,28,1.78,143
Tomasz Majewski,athletics,POL,male,30/08/1981,35,2.04,142
Tim Nedow,athletics,CAN,male,16/10/1990,25.8,2,140
Damien Birkinhead,athletics,AUS,male,08/04/1993,23.3,1.9,140
Deo Gracia Ngokaba,judo,CGO,male,17/05/1997,19.2,1.9,140
Asmir Kolasinac,athletics,SRB,male,15/10/1984,31.8,1.87,140
Yavuz Ilnam,shooting,TUR,male,23/07/1987,29.1,1.85,140
Borja Vivas,athletics,ESP,male,26/05/1984,32.2,2.04,139
Teddy Riner,judo,FRA,male,07/04/1989,27.3,2.03,139
Alexej Prochorow,weightlifting,GER,male,30/03/1990,26.4,1.91,138
Konrad Bukowiecki,athletics,POL,male,17/03/1997,19.4,1.91,138
Georgi Ivanov,athletics,BUL,male,13/03/1985,31.4,1.88,138
Gregory Echenique,basketball,VEN,male,23/11/1990,25.7,2.06,137
