name,sport,nationality,sex,date_of_birth,age,height,weight
Daniel Natea,Judo,ROU,male,21/04/1992,24.3,2.03,170
Behdad Salimikordasiabi,Weightlifting,IRI,male,08/12/1989,26.7,1.92,170
Ivan Emilianov,Athletics,MDA,male,19/02/1977,39.5,2.02,165
Fernando Salas Manguis,Weightlifting,ECU,male,10/02/1988,28.5,1.86,163
Rafael Silva,Judo,BRA,male,11/05/1987,29.3,2.03,160
Peter Nagy,Weightlifting,HUN,male,16/01/1986,30.6,1.92,159
Mason Finley,Athletics,USA,male,07/10/1990,25.8,2.04,157
Lasha Talakhadze,Weightlifting,GEO,male,02/10/1993,22.9,1.97,157
Daniel Stahl,Athletics,SWE,male,27/08/1992,24,2,155
Fernando Saraiva Reis,Weightlifting,BRA,male,10/03/1990,26.4,1.85,155
Tsanko Arnaudov,Athletics,POR,male,14/03/1992,24.4,1.98,154
Shih-Chieh Chen,Weightlifting,TPE,male,27/11/1989,26.7,1.9,152
Ruben Aleksanyan,Weightlifting,ARM,male,14/03/1990,26.4,1.8,152
Mart Seim,Weightlifting,EST,male,24/10/1990,25.8,1.85,149
Almir Velagic,Weightlifting,GER,male,22/08/1981,35,1.83,149
Kunathip Yea-On,Judo,THA,male,18/08/1995,21,1.93,148
Rustam Djangabaev,Weightlifting,UZB,male,25/08/1993,23,1.83,146
Darrell Hill,Athletics,USA,male,17/08/1993,23,1.91,145
Hojamuhammet Toychyyev,Weightlifting,TKM,male,16/01/1992,24.6,1.86,145
Ivan Ivanov,Athletics,KAZ,male,03/01/1992,24.6,2.02,144
Ahmed Mohamed,Weightlifting,EGY,male,27/04/1988,28.3,1.85,144
Gor Minasyan,Weightlifting,ARM,male,25/10/1994,21.8,1.8,144
Man Asaad,Weightlifting,SYR,male,20/11/1993,22.7,1.9,143
Sarah Elizabeth Robles,Weightlifting,USA,female,01/08/1988,28,1.78,143
Tomasz Majewski,Athletics,POL,male,30/08/1981,35,2.04,142
Tim Nedow,Athletics,CAN,male,16/10/1990,25.8,2,140
Damien Birkinhead,Athletics,AUS,male,08/04/1993,23.3,1.9,140
Deo Gracia Ngokaba,Judo,CGO,male,17/05/1997,19.2,1.9,140
Asmir Kolasinac,Athletics,SRB,male,15/10/1984,31.8,1.87,140
Yavuz Ilnam,Shooting,TUR,male,23/07/1987,29.1,1.85,140
Borja Vivas,Athletics,ESP,male,26/05/1984,32.2,2.04,139
Teddy Riner,Judo,FRA,male,07/04/1989,27.3,2.03,139
Alexej Prochorow,Weightlifting,GER,male,30/03/1990,26.4,1.91,138
Konrad Bukowiecki,Athletics,POL,male,17/03/1997,19.4,1.91,138
Georgi Ivanov,Athletics,BUL,male,13/03/1985,31.4,1.88,138
