Category,	Global,	Northern Hemisphere,	Southern Hemisphere,
1880,	-0.15,	-0.27,	-0.03,
1881,	-0.07,	-0.16,	0.01,
1882,	-0.1,	-0.2,	0,
1883,	-0.16,	-0.26,	-0.06,
1884,	-0.27,	-0.42,	-0.14,
1885,	-0.32,	-0.42,	-0.23,
1886,	-0.3,	-0.42,	-0.19,
1887,	-0.35,	-0.42,	-0.28,
1888,	-0.16,	-0.22,	-0.11,
1889,	-0.1,	-0.17,	-0.03,
1890,	-0.34,	-0.37,	-0.32,
1891,	-0.22,	-0.25,	-0.19,
1892,	-0.27,	-0.39,	-0.15,
1893,	-0.31,	-0.47,	-0.15,
1894,	-0.3,	-0.39,	-0.21,
1895,	-0.22,	-0.3,	-0.14,
1896,	-0.11,	-0.19,	-0.02,
1897,	-0.11,	-0.16,	-0.05,
1898,	-0.27,	-0.27,	-0.26,
1899,	-0.17,	-0.21,	-0.14,
1900,	-0.07,	-0.08,	-0.06,
1901,	-0.15,	-0.12,	-0.18,
1902,	-0.27,	-0.32,	-0.22,
1903,	-0.36,	-0.37,	-0.36,
1904,	-0.47,	-0.47,	-0.46,
1905,	-0.26,	-0.29,	-0.23,
1906,	-0.22,	-0.23,	-0.21,
1907,	-0.38,	-0.47,	-0.3,
1908,	-0.42,	-0.45,	-0.4,
1909,	-0.48,	-0.49,	-0.48,
1910,	-0.43,	-0.43,	-0.43,
1911,	-0.44,	-0.42,	-0.45,
1912,	-0.36,	-0.46,	-0.25,
1913,	-0.35,	-0.42,	-0.26,
1914,	-0.16,	-0.2,	-0.11,
1915,	-0.14,	-0.14,	-0.13,
1916,	-0.36,	-0.42,	-0.3,
1917,	-0.46,	-0.58,	-0.36,
1918,	-0.29,	-0.39,	-0.2,
1919,	-0.27,	-0.35,	-0.2,
1920,	-0.27,	-0.3,	-0.24,
1921,	-0.19,	-0.11,	-0.26,
1922,	-0.28,	-0.27,	-0.29,
1923,	-0.26,	-0.21,	-0.3,
1924,	-0.27,	-0.18,	-0.35,
1925,	-0.22,	-0.13,	-0.3,
1926,	-0.1,	0.03,	-0.21,
1927,	-0.21,	-0.13,	-0.29,
1928,	-0.19,	-0.09,	-0.29,
1929,	-0.36,	-0.33,	-0.38,
1930,	-0.15,	-0.01,	-0.29,
1931,	-0.09,	0.05,	-0.21,
1932,	-0.16,	-0.05,	-0.26,
1933,	-0.28,	-0.25,	-0.32,
1934,	-0.12,	0,	-0.25,
1935,	-0.2,	-0.09,	-0.3,
1936,	-0.15,	-0.03,	-0.26,
1937,	-0.03,	0.12,	-0.17,
1938,	0,	0.16,	-0.18,
1939,	-0.02,	0.09,	-0.13,
1940,	0.13,	0.18,	0.09,
1941,	0.19,	0.23,	0.17,
1942,	0.07,	0.13,	0.01,
1943,	0.09,	0.18,	-0.01,
1944,	0.2,	0.27,	0.14,
1945,	0.09,	0.11,	0.09,
1946,	-0.07,	0.03,	-0.17,
1947,	-0.03,	0.08,	-0.13,
1948,	-0.11,	-0.02,	-0.2,
1949,	-0.11,	-0.03,	-0.19,
1950,	-0.17,	-0.15,	-0.21,
1951,	-0.07,	0.05,	-0.18,
1952,	0.01,	0.06,	-0.04,
1953,	0.08,	0.24,	-0.07,
1954,	-0.13,	-0.02,	-0.25,
1955,	-0.14,	-0.09,	-0.21,
1956,	-0.19,	-0.23,	-0.16,
1957,	0.05,	0.04,	0.05,
1958,	0.06,	0.15,	-0.03,
1959,	0.03,	0.12,	-0.06,
1960,	-0.03,	0.08,	-0.13,
1961,	0.06,	0.09,	0.03,
1962,	0.03,	0.13,	-0.07,
1963,	0.05,	0.14,	-0.03,
1964,	-0.2,	-0.19,	-0.2,
1965,	-0.11,	-0.14,	-0.07,
1966,	-0.06,	-0.02,	-0.09,
1967,	-0.02,	0.03,	-0.08,
1968,	-0.08,	-0.07,	-0.09,
1969,	0.05,	-0.03,	0.15,
1970,	0.03,	-0.04,	0.09,
1971,	-0.08,	-0.15,	-0.02,
1972,	0.01,	-0.18,	0.2,
1973,	0.16,	0.09,	0.23,
1974,	-0.07,	-0.18,	0.03,
1975,	-0.01,	-0.05,	0.02,
1976,	-0.1,	-0.21,	0.01,
1977,	0.18,	0.12,	0.24,
1978,	0.07,	0.02,	0.12,
1979,	0.16,	0.08,	0.25,
1980,	0.26,	0.17,	0.35,
1981,	0.32,	0.37,	0.27,
1982,	0.14,	0.05,	0.23,
1983,	0.31,	0.25,	0.38,
1984,	0.16,	0.04,	0.28,
1985,	0.12,	0,	0.24,
1986,	0.18,	0.13,	0.23,
1987,	0.32,	0.25,	0.41,
1988,	0.39,	0.37,	0.41,
1989,	0.27,	0.27,	0.28,
1990,	0.45,	0.53,	0.37,
1991,	0.41,	0.41,	0.4,
1992,	0.22,	0.14,	0.31,
1993,	0.23,	0.19,	0.28,
1994,	0.32,	0.37,	0.26,
1995,	0.45,	0.58,	0.32,
1996,	0.33,	0.26,	0.39,
1997,	0.46,	0.52,	0.41,
1998,	0.61,	0.7,	0.52,
1999,	0.39,	0.48,	0.29,
2000,	0.4,	0.5,	0.29,
2001,	0.54,	0.64,	0.44,
2002,	0.63,	0.71,	0.54,
2003,	0.62,	0.75,	0.5,
2004,	0.54,	0.66,	0.42,
2005,	0.68,	0.86,	0.51,
2006,	0.64,	0.82,	0.47,
2007,	0.67,	0.85,	0.48,
2008,	0.55,	0.68,	0.41,
2009,	0.66,	0.73,	0.6,
2010,	0.73,	0.9,	0.55,
2011,	0.61,	0.74,	0.47,
2012,	0.65,	0.81,	0.48,
2013,	0.68,	0.8,	0.56,
2014,	0.75,	0.92,	0.58,
2015,	0.9,	1.18,	0.63,
2016,	1.02,	1.31,	0.73,
2017,	0.93,	1.18,	0.67,
2018,	0.85,	1.04,	0.66,
2019,	0.99,	1.22,	0.76,
